epoch,c1_accuracy,c1_loss,c2_accuracy,c2_loss,c3_accuracy,c3_loss,c4_accuracy,c4_loss,loss
0,0.11767578125,28.937664031982422,0.13427734375,29.621501922607422,0.13427734375,24.36090087890625,0.1435546875,25.48760414123535,108.40766906738281
1,0.521484375,3.134321689605713,0.5556640625,3.375643253326416,0.58251953125,2.5980632305145264,0.61328125,2.770509958267212,11.878538131713867
2,0.873046875,0.5799669027328491,0.90087890625,0.48007866740226746,0.92431640625,0.3978329300880432,0.9169921875,0.5870721936225891,2.0449507236480713
3,0.96044921875,0.31037136912345886,0.94921875,0.319351464509964,0.96533203125,0.2510335147380829,0.95654296875,0.300500750541687,1.1812571287155151
4,0.958984375,0.2658691704273224,0.95751953125,0.3273129165172577,0.96923828125,0.22510609030723572,0.95654296875,0.34232765436172485,1.1606158018112183
5,0.9638671875,0.307673841714859,0.9619140625,0.32443711161613464,0.97021484375,0.18734782934188843,0.95751953125,0.3800935447216034,1.1995525360107422
6,0.9609375,0.2660348415374756,0.95263671875,0.3509848117828369,0.962890625,0.2190149873495102,0.95361328125,0.389289915561676,1.2253246307373047
7,0.9580078125,0.2875978350639343,0.94873046875,0.3620014488697052,0.970703125,0.21398383378982544,0.96044921875,0.31563594937324524,1.1792188882827759
8,0.95654296875,0.320603609085083,0.95947265625,0.391938716173172,0.9697265625,0.18756358325481415,0.955078125,0.4112037122249603,1.3113096952438354
9,0.9541015625,0.30519264936447144,0.9609375,0.3028737008571625,0.970703125,0.2376127392053604,0.96240234375,0.3486592769622803,1.194338083267212
